"id","country_id:id","code","name"
sale_statistics.it-ab,base.it,"IT-65","Abruzzo"
sale_statistics.it-ba,base.it,"IT-77","Basilicata"
sale_statistics.it-ca,base.it,"IT-78","Calabria"
sale_statistics.it-cm,base.it,"IT-72","Campania"
sale_statistics.it-er,base.it,"IT-45","Emilia-Romagna"
sale_statistics.it-fv,base.it,"IT-36","Friuli-Venezia Giulia"
sale_statistics.it-la,base.it,"IT-62","Lazio"
sale_statistics.it-li,base.it,"IT-42","Liguria"
sale_statistics.it-lm,base.it,"IT-25","Lombardia"
sale_statistics.it-ma,base.it,"IT-57","Marche"
sale_statistics.it-mo,base.it,"IT-67","Molise"
sale_statistics.it-pm,base.it,"IT-21","Piemonte"
sale_statistics.it-pu,base.it,"IT-75","Puglia"
sale_statistics.it-sa,base.it,"IT-88","Sardegna"
sale_statistics.it-si,base.it,"IT-82","Sicilia"
sale_statistics.it-to,base.it,"IT-52","Toscana"
sale_statistics.it-ta,base.it,"IT-32","Trentino-Alto Adige"
sale_statistics.it-um,base.it,"IT-55","Umbria"
sale_statistics.it-va,base.it,"IT-23","Valle d'Aosta"
sale_statistics.it-ve,base.it,"IT-34","Veneto"